train_number,line_direction_cid,direction_chinese,station_id,station_name,car_number_cn1,car_number_cn2,car1_congestion,car2_congestion,car3_congestion,car4_congestion,update_time,timestamp
"113,104",2,上行,BR11,BR 南京復興,113,104,3,2,2,2,2025-07-14 21:22:24,2025-07-14 21:22:24
"111,142",1,下行,BR21,葫洲,111,142,1,1,1,1,2025-07-14 21:22:21,2025-07-14 21:22:21
"135,201",2,上行,BR04,萬芳醫院,135,201,1,1,1,1,2025-07-14 21:21:47,2025-07-14 21:21:47
"199,128",2,上行,BR08,科技大樓,199,128,1,1,1,1,2025-07-14 21:21:24,2025-07-14 21:21:24
"101,114",2,上行,BR19,內湖,101,114,1,1,1,1,2025-07-14 21:21:23,2025-07-14 21:21:23
"157,112",2,上行,BR14,大直,157,112,1,1,2,2,2025-07-14 21:21:21,2025-07-14 21:21:21
"141,160",2,上行,BR16,西湖,141,160,2,2,2,1,2025-07-14 21:21:11,2025-07-14 21:21:11
"127,120",2,上行,BR21,葫洲,127,120,1,1,1,1,2025-07-14 21:21:01,2025-07-14 21:21:01
"191,126",1,下行,BR09,BR 大安,191,126,2,2,3,2,2025-07-14 21:20:58,2025-07-14 21:20:58
"111,142",1,下行,BR22,東湖,111,142,1,1,1,1,2025-07-14 21:20:38,2025-07-14 21:20:38
"113,104",2,上行,BR10,BR 忠孝復興,113,104,3,1,2,2,2025-07-14 21:20:19,2025-07-14 21:20:19
"103,194",2,上行,BR23,南港軟體園區,103,194,1,1,2,1,2025-07-14 21:20:08,2025-07-14 21:20:08
"135,201",2,上行,BR03,萬芳社區,135,201,1,1,1,1,2025-07-14 21:19:42,2025-07-14 21:19:42
"129,198",2,上行,BR12,中山國中,129,198,1,1,2,2,2025-07-14 21:19:42,2025-07-14 21:19:42
"101,114",2,上行,BR18,文德,101,114,1,1,2,1,2025-07-14 21:19:39,2025-07-14 21:19:39
"133,166",1,下行,BR01,動物園,133,166,1,1,1,1,2025-07-14 21:19:15,2025-07-14 21:19:15
"191,126",1,下行,BR10,BR 忠孝復興,191,126,2,1,2,2,2025-07-14 21:19:13,2025-07-14 21:19:13
"199,128",2,上行,BR07,六張犁,199,128,1,1,1,1,2025-07-14 21:18:57,2025-07-14 21:18:57
"111,142",1,下行,BR23,南港軟體園區,111,142,1,1,1,1,2025-07-14 21:18:48,2025-07-14 21:18:48
"127,120",2,上行,BR20,大湖公園,127,120,1,1,1,1,2025-07-14 21:18:35,2025-07-14 21:18:35
"113,104",2,上行,BR09,BR 大安,113,104,2,1,1,2,2025-07-14 21:18:24,2025-07-14 21:18:24
"103,194",2,上行,BR22,東湖,103,194,2,1,2,1,2025-07-14 21:18:21,2025-07-14 21:18:21
"157,112",2,上行,BR17,港漧,157,112,1,1,2,2,2025-07-14 21:27:12,2025-07-14 21:27:12
"101,114",2,上行,BR22,東湖,101,114,1,1,2,1,2025-07-14 21:27:08,2025-07-14 21:27:08
"183,118",1,下行,BR08,科技大樓,183,118,2,2,2,2,2025-07-14 21:26:59,2025-07-14 21:26:59
"127,120",2,上行,BR24,BR 南港展覽館,127,120,1,1,1,1,2025-07-14 21:26:57,2025-07-14 21:26:57
"113,104",2,上行,BR13,松山機場,113,104,2,2,2,2,2025-07-14 21:26:51,2025-07-14 21:26:51
"111,142",1,下行,BR19,內湖,111,142,1,1,1,1,2025-07-14 21:26:38,2025-07-14 21:26:38
"191,126",1,下行,BR06,麟光,191,126,3,2,2,1,2025-07-14 21:26:36,2025-07-14 21:26:36
"135,201",2,上行,BR06,麟光,135,201,1,1,1,1,2025-07-14 21:26:21,2025-07-14 21:26:21
"141,160",2,上行,BR19,內湖,141,160,2,1,1,1,2025-07-14 21:26:04,2025-07-14 21:26:04
"157,112",2,上行,BR16,西湖,157,112,1,1,2,2,2025-07-14 21:25:42,2025-07-14 21:25:42
"137,200",1,下行,BR02,木柵,137,200,1,1,1,2,2025-07-14 21:25:39,2025-07-14 21:25:39
"183,118",1,下行,BR09,BR 大安,183,118,2,2,3,3,2025-07-14 21:25:26,2025-07-14 21:25:26
"101,114",2,上行,BR21,葫洲,101,114,1,1,1,1,2025-07-14 21:25:26,2025-07-14 21:25:26
"111,142",1,下行,BR20,大湖公園,111,142,1,1,1,1,2025-07-14 21:24:48,2025-07-14 21:24:48
"127,120",2,上行,BR23,南港軟體園區,127,120,1,1,1,1,2025-07-14 21:24:34,2025-07-14 21:24:34
"141,160",2,上行,BR18,文德,141,160,2,2,1,1,2025-07-14 21:24:18,2025-07-14 21:24:18
"31,44",1,下行,BR23,南港軟體園區,31,44,1,1,1,1,2025-07-14 21:24:16,2025-07-14 21:24:16
"113,104",2,上行,BR12,中山國中,113,104,2,2,2,2,2025-07-14 21:24:02,2025-07-14 21:24:02
"135,201",2,上行,BR05,辛亥,135,201,1,1,1,1,2025-07-14 21:23:57,2025-07-14 21:23:57
"183,118",1,下行,BR10,BR 忠孝復興,183,118,2,1,3,3,2025-07-14 21:23:40,2025-07-14 21:23:40
"113,104",2,上行,BR15,劍南路,113,104,1,2,2,1,2025-07-14 21:32:15,2025-07-14 21:32:15
"157,112",2,上行,BR20,大湖公園,157,112,1,1,1,1,2025-07-14 21:32:11,2025-07-14 21:32:11
"141,160",2,上行,BR22,東湖,141,160,1,1,1,1,2025-07-14 21:31:49,2025-07-14 21:31:49
"129,198",2,上行,BR17,港漧,129,198,2,1,1,1,2025-07-14 21:31:39,2025-07-14 21:31:39
"199,128",2,上行,BR13,松山機場,199,128,2,2,1,3,2025-07-14 21:31:38,2025-07-14 21:31:38
"101,114",2,上行,BR24,BR 南港展覽館,101,114,1,1,1,1,2025-07-14 21:31:22,2025-07-14 21:31:22
"111,142",1,下行,BR16,西湖,111,142,1,1,1,2,2025-07-14 21:31:19,2025-07-14 21:31:19
"183,118",1,下行,BR06,麟光,183,118,2,2,2,1,2025-07-14 21:31:01,2025-07-14 21:31:01
"133,166",2,上行,BR04,萬芳醫院,133,166,1,1,1,1,2025-07-14 21:30:58,2025-07-14 21:30:58
"191,126",1,下行,BR04,萬芳醫院,191,126,2,3,1,1,2025-07-14 21:30:57,2025-07-14 21:30:57
"157,112",2,上行,BR19,內湖,157,112,1,1,2,1,2025-07-14 21:30:34,2025-07-14 21:30:34
"135,201",2,上行,BR08,科技大樓,135,201,1,1,1,1,2025-07-14 21:30:13,2025-07-14 21:30:13
"113,104",2,上行,BR14,大直,113,104,2,2,2,2,2025-07-14 21:30:08,2025-07-14 21:30:08
"141,160",2,上行,BR21,葫洲,141,160,1,1,1,1,2025-07-14 21:30:07,2025-07-14 21:30:07
"111,142",1,下行,BR17,港漧,111,142,1,1,1,1,2025-07-14 21:29:52,2025-07-14 21:29:52
"129,198",2,上行,BR16,西湖,129,198,2,2,1,1,2025-07-14 21:29:47,2025-07-14 21:29:47
"101,114",2,上行,BR23,南港軟體園區,101,114,1,1,2,1,2025-07-14 21:29:11,2025-07-14 21:29:11
"191,126",1,下行,BR05,辛亥,191,126,3,2,1,1,2025-07-14 21:29:05,2025-07-14 21:29:05
"133,166",2,上行,BR03,萬芳社區,133,166,1,1,1,1,2025-07-14 21:28:53,2025-07-14 21:28:53
"157,112",2,上行,BR18,文德,157,112,1,1,2,2,2025-07-14 21:28:49,2025-07-14 21:28:49
"199,128",2,上行,BR12,中山國中,199,128,2,2,1,2,2025-07-14 21:28:46,2025-07-14 21:28:46
"111,142",1,下行,BR18,文德,111,142,1,1,1,1,2025-07-14 21:28:09,2025-07-14 21:28:09
"199,128",2,上行,BR15,劍南路,199,128,1,1,2,2,2025-07-14 21:37:02,2025-07-14 21:37:02
"127,120",1,下行,BR23,南港軟體園區,127,120,1,1,1,1,2025-07-14 21:36:46,2025-07-14 21:36:46
"129,198",2,上行,BR20,大湖公園,129,198,1,1,1,1,2025-07-14 21:36:38,2025-07-14 21:36:38
"137,200",2,上行,BR02,木柵,137,200,1,1,1,1,2025-07-14 21:36:38,2025-07-14 21:36:38
"135,201",2,上行,BR11,BR 南京復興,135,201,1,1,2,2,2025-07-14 21:36:12,2025-07-14 21:36:12
"141,160",2,上行,BR24,BR 南港展覽館,141,160,1,1,1,1,2025-07-14 21:36:11,2025-07-14 21:36:11
"103,194",1,下行,BR21,葫洲,103,194,1,1,1,1,2025-07-14 21:36:03,2025-07-14 21:36:03
"113,104",2,上行,BR17,港漧,113,104,1,1,2,1,2025-07-14 21:35:58,2025-07-14 21:35:58
"183,118",1,下行,BR04,萬芳醫院,183,118,2,2,1,1,2025-07-14 21:35:48,2025-07-14 21:35:48
"111,142",1,下行,BR14,大直,111,142,2,1,1,2,2025-07-14 21:35:30,2025-07-14 21:35:30
"133,166",2,上行,BR06,麟光,133,166,1,1,1,1,2025-07-14 21:35:29,2025-07-14 21:35:29
"127,120",1,下行,BR24,BR 南港展覽館,127,120,1,1,1,1,2025-07-14 21:35:06,2025-07-14 21:35:06
"199,128",2,上行,BR14,大直,199,128,1,2,2,2,2025-07-14 21:34:55,2025-07-14 21:34:55
"129,198",2,上行,BR19,內湖,129,198,1,1,1,1,2025-07-14 21:34:47,2025-07-14 21:34:47
"191,126",1,下行,BR02,木柵,191,126,2,2,1,1,2025-07-14 21:34:37,2025-07-14 21:34:37
"113,104",2,上行,BR16,西湖,113,104,1,2,2,1,2025-07-14 21:34:28,2025-07-14 21:34:28
"103,194",1,下行,BR22,東湖,103,194,1,1,1,1,2025-07-14 21:34:20,2025-07-14 21:34:20
"183,118",1,下行,BR05,辛亥,183,118,3,2,1,1,2025-07-14 21:33:33,2025-07-14 21:33:33
"111,142",1,下行,BR15,劍南路,111,142,1,1,1,2,2025-07-14 21:33:29,2025-07-14 21:33:29
"133,166",2,上行,BR05,辛亥,133,166,1,1,1,1,2025-07-14 21:33:10,2025-07-14 21:33:10
"191,126",1,下行,BR03,萬芳社區,191,126,1,2,1,1,2025-07-14 21:33:09,2025-07-14 21:33:09
"101,114",1,下行,BR23,南港軟體園區,101,114,1,2,1,1,2025-07-14 21:42:17,2025-07-14 21:42:17
"199,128",2,上行,BR18,文德,199,128,1,1,2,2,2025-07-14 21:42:08,2025-07-14 21:42:08
"111,142",1,下行,BR12,中山國中,111,142,2,1,1,3,2025-07-14 21:41:55,2025-07-14 21:41:55
"133,166",2,上行,BR09,BR 大安,133,166,1,1,1,2,2025-07-14 21:41:50,2025-07-14 21:41:50
"103,194",1,下行,BR18,文德,103,194,1,1,1,1,2025-07-14 21:41:49,2025-07-14 21:41:49
"183,118",1,下行,BR01,動物園,183,118,1,2,1,1,2025-07-14 21:41:17,2025-07-14 21:41:17
"113,104",2,上行,BR20,大湖公園,113,104,1,1,1,1,2025-07-14 21:40:55,2025-07-14 21:40:55
"129,198",2,上行,BR22,東湖,129,198,1,1,1,1,2025-07-14 21:40:46,2025-07-14 21:40:46
"135,201",2,上行,BR13,松山機場,135,201,2,2,2,2,2025-07-14 21:40:40,2025-07-14 21:40:40
"157,112",2,上行,BR24,BR 南港展覽館,157,112,1,1,1,1,2025-07-14 21:40:35,2025-07-14 21:40:35
"101,114",1,下行,BR24,BR 南港展覽館,101,114,1,2,1,1,2025-07-14 21:40:32,2025-07-14 21:40:32
"199,128",2,上行,BR17,港漧,199,128,1,1,2,2,2025-07-14 21:40:30,2025-07-14 21:40:30
"127,120",1,下行,BR21,葫洲,127,120,1,1,1,1,2025-07-14 21:40:21,2025-07-14 21:40:21
"133,166",2,上行,BR08,科技大樓,133,166,1,1,1,1,2025-07-14 21:39:34,2025-07-14 21:39:34
"113,104",2,上行,BR19,內湖,113,104,1,1,2,1,2025-07-14 21:39:20,2025-07-14 21:39:20
"183,118",1,下行,BR02,木柵,183,118,1,2,1,1,2025-07-14 21:39:06,2025-07-14 21:39:06
"129,198",2,上行,BR21,葫洲,129,198,1,1,1,1,2025-07-14 21:39:04,2025-07-14 21:39:04
"111,142",1,下行,BR13,松山機場,111,142,2,2,1,3,2025-07-14 21:39:03,2025-07-14 21:39:03
"199,128",2,上行,BR16,西湖,199,128,1,1,3,2,2025-07-14 21:39:00,2025-07-14 21:39:00
"127,120",1,下行,BR22,東湖,127,120,1,1,1,1,2025-07-14 21:38:39,2025-07-14 21:38:39
"103,194",1,下行,BR20,大湖公園,103,194,1,1,1,1,2025-07-14 21:38:28,2025-07-14 21:38:28
"157,112",2,上行,BR23,南港軟體園區,157,112,1,1,1,1,2025-07-14 21:38:11,2025-07-14 21:38:11
"103,194",1,下行,BR15,劍南路,103,194,2,2,1,1,2025-07-14 21:47:20,2025-07-14 21:47:20
