起站,訖站,全票票價,敬老卡愛心卡愛心陪伴卡及新北市兒童優惠票價,臺北市兒童優惠票價,距離
松山機場,松山機場,20,8,12,0
松山機場,中山國中,20,8,12,1.48
松山機場,南京復興,20,8,12,2.41
松山機場,忠孝復興,20,8,12,3.68
松山機場,大安,20,8,12,4.57
松山機場,科技大樓,25,10,15,5.32
松山機場,六張犁,25,10,15,6.45
松山機場,麟光,25,10,15,7.27
松山機場,辛亥,30,12,18,8.87
松山機場,萬芳醫院,30,12,18,9.63
松山機場,萬芳社區,30,12,18,10.77
松山機場,木柵,35,14,21,11.29
松山機場,動物園,35,14,21,11.97
松山機場,大直,20,8,12,2.59
松山機場,劍南路,20,8,12,3.91
松山機場,西湖,25,10,15,5.2
松山機場,港墘,25,10,15,6.03
松山機場,文德,25,10,15,7.04
松山機場,內湖,30,12,18,8.17
松山機場,大湖公園,30,12,18,9.03
松山機場,葫洲,30,12,18,10.66
松山機場,東湖,35,14,21,11.51
松山機場,南港軟體園區,35,14,21,12.24
松山機場,南港展覽館,35,14,21,11.59
松山機場,小碧潭,40,16,24,15.67
松山機場,新店,40,16,24,15.73
松山機場,新店區公所,40,16,24,14.62
松山機場,七張,35,14,21,13.72
松山機場,大坪林,35,14,21,12.87
松山機場,景美,35,14,21,11.72
松山機場,萬隆,30,12,18,10.66
松山機場,公館,30,12,18,9.1
松山機場,台電大樓,30,12,18,8.2
松山機場,古亭,25,10,15,7.32
松山機場,中正紀念堂,25,10,15,6.98
松山機場,小南門,25,10,15,7.53
松山機場,頂溪,30,12,18,9.46
松山機場,永安市場,30,12,18,10.79
松山機場,景安,35,14,21,11.87
松山機場,南勢角,35,14,21,12.68
松山機場,台大醫院,25,10,15,5.99
松山機場,台北車站,25,10,15,5.36
松山機場,台北車站,25,10,15,5.36
松山機場,中山,20,8,12,4.7
松山機場,雙連,25,10,15,5.25
松山機場,民權西路,25,10,15,5.78
松山機場,圓山,25,10,15,6.81
松山機場,劍潭,30,12,18,8.33
松山機場,士林,30,12,18,9.42
松山機場,芝山,30,12,18,10.52
松山機場,明德,35,14,21,11.4
松山機場,石牌,35,14,21,12
松山機場,唭哩岸,35,14,21,13.26
松山機場,奇岩,40,16,24,14.09
